Modèle,Paramètres,MAE,RMSE,R2,MAE_std,RMSE_std,R2_std,Observations
Linear Regression,{},194751.72552691205,295388.181099604,0.8166406180347268,26552.677551320452,66854.81099779576,0.07678896194823077,Modèle de référence.
Ridge,{'alpha': 1.0},194164.40675388987,294084.48479912634,0.8185300526877075,25697.412378214034,63808.3099297932,0.07513711243984666,Régularisation L2 (alpha=1.0).
Lasso,{'alpha': 0.1},194749.34253264958,295383.1747624392,0.8166467758749901,26550.8313860598,66851.58754392834,0.07678751679597191,Régularisation L1 (alpha=0.1).
DecisionTree,{'max_depth': 10},252776.20695864997,390993.0479647533,0.6873793064649601,33319.33541300918,59882.1501381553,0.0805584725833021,Arbre de décision (max_depth=10).
RandomForest,{'n_estimators': 200},208858.73819482085,308236.4693356509,0.8051043688751711,21232.083847062826,52679.31060554114,0.05538470311350938,Forêt aléatoire (200 arbres).
GradientBoost,{'n_estimators': 200},180119.14330672388,295087.90943979274,0.8201715025629432,19996.52493626713,56279.87870705353,0.05841155705672755,Gradient Boosting (200 arbres).
